Telemetry_UID,State,District,Tahsil,Block,Village,Latitude,Longitude,Date & Time,Battery (V),Water Temperature (°C),Water Level (m),Barometric Pressure (mH2O),DWLR Depth(m),Well Depth(m)
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,04-01-2024 06:00,3.6,28.57,-8.25,943.102,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,04-01-2024 12:00,3.6,28.51,-8.25,943.101,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,30-03-2024 06:00,3.61,26.99,-7.38,970.86,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,30-03-2024 12:00,3.61,26.99,-7.39,972.82,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,30-03-2024 18:00,3.61,27.03,-7.4,970.07,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,31-03-2024 00:00,3.61,26.99,-7.4,972.55,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,31-03-2024 06:00,3.61,26.99,-7.4,973.25,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,31-03-2024 12:00,3.61,26.99,-7.4,974.53,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,31-03-2024 18:00,3.61,26.99,-7.4,970.21,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,01-04-2024 00:00,3.61,27.03,-7.4,971.19,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,01-04-2024 06:00,3.59,27.1,-7.39,969.97,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,01-04-2024 12:00,3.59,27.01,-7.4,971.05,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,01-04-2024 18:00,3.59,27.03,-7.45,967.4,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,02-04-2024 00:00,3.59,26.99,-7.43,968.98,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,02-04-2024 06:00,3.53,27.03,-7.43,968.12,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,02-04-2024 12:00,3.53,27.05,-7.42,969.43,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,02-04-2024 18:00,3.53,27.07,-7.48,966.22,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,03-04-2024 00:00,3.53,26.99,-7.46,969.34,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,03-04-2024 06:00,3.53,27.03,-7.45,968.98,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,03-04-2024 12:00,3.53,27.03,-7.45,970.58,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,03-04-2024 18:00,3.53,27.03,-7.45,967.01,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,04-04-2024 00:00,3.53,27.01,-7.45,969.7,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,04-04-2024 06:00,3.53,27.01,-7.45,968.97,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,04-04-2024 12:00,3.53,27.01,-7.45,971.52,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,04-04-2024 18:00,3.53,27.01,-7.46,968.93,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,05-04-2024 00:00,3.53,27.01,-7.45,970.5,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,05-04-2024 06:00,3.53,27.07,-7.45,969.39,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,05-04-2024 12:00,3.53,27.03,-7.46,971.04,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,05-04-2024 18:00,3.53,27.05,-7.46,967.95,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,06-04-2024 00:00,3.53,27.05,-7.45,969.4,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,06-04-2024 06:00,3.53,27.05,-7.45,968.95,-11.9,-26.9
